path,emotion,dataset,original_split,split
Raw_Data/MELD/train/dia649_utt21.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia40_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia96_utt9.wav,angry,meld,test,train
Raw_Data/MELD/test/dia255_utt7.wav,happy,meld,test,train
Raw_Data/MELD/test/dia198_utt4.wav,surprise,meld,test,train
Raw_Data/MELD/train/dia190_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia201_utt9.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia91_utt1.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia152_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia99_utt16.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia96_utt5.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia658_utt17.wav,surprise,meld,train,train
Raw_Data/MELD/dev/dia74_utt4.wav,surprise,meld,dev,train
Raw_Data/MELD/test/dia36_utt0.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia632_utt12.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia180_utt8.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia74_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia635_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia455_utt5.wav,fear,meld,train,train
Raw_Data/MELD/train/dia557_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia722_utt14.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia267_utt3.wav,sad,meld,test,train
Raw_Data/MELD/train/dia758_utt3.wav,angry,meld,train,train
Raw_Data/MELD/train/dia602_utt0.wav,happy,meld,train,train
Raw_Data/MELD/train/dia818_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia47_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia18_utt13.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia577_utt7.wav,happy,meld,train,train
Raw_Data/MELD/train/dia271_utt1.wav,happy,meld,train,train
Raw_Data/MELD/train/dia789_utt2.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia16_utt15.wav,neutral,meld,dev,train
